	eng	kor
28	What color will we see?	어떤 색을 보게 될지
29	I do not know either.	나도 모르는 걸
30	Judging from your facial expression	표정을 보아하니
31	Your heart is also like mine.	니 맘도 내 맘과 같은 걸
32	I’m going to be a little more honest now.	이젠 좀 더 솔직해지기로 해
33	I will become a wave	나는 파도가 되고
34	that hits your beach	너의 해변을 덮쳐
35	Maybe you and I	어쩌면 너와 난
36	we cannot stop anyway.	멎지 않을 거야
38	Because our minds are colder	차가운 맘이
39	And we get a little more sensitive.	조금 더 예민해지니까
50	Your fingers brush past me and wake me	나를 스치고 또 깨워 너의 손길
51	I respond only to you yeah	오직 너에게만 반응하게 돼 Yeah
52	I like that you lead me sometimes	가끔은 나를 이끌어가는 니가 좋아
53	The endless and deep conversations continue on	멈출 수 없는 깊은 대화는 계속
54	Please embrace my shoulders a little more yeah I like it	어깨를 조금 더 감싸 줘 Yeah I like it
55	Whisper to me deeper yeah I like it	더 깊이 내게 속삭여 줘 Yeah I like it
57	Oh perfect I like it	Oh 완벽해 I like it
0	All trapped in the same way of thinking	똑같은 생각에 틀에 박혀있네
1	Why can’t you go forward? It’s right in front of you	왜 더 가지 못해 바로 눈앞인데
2	If you take one step, your vision will broaden	한발 디디면 확 트이는 시야
3	So run farther ahead	더 멀리 뛰어 봐
4	Just cuz you know something, doesn’t mean you know everything (y’all no no)	안다고 다 알고 있는 게 아냐 (Y’all no no)
5	We have our own expressions and movements (I’ve got it)	우리만의 표정 그리고 몸짓 (I’ve got it)
6	There aren’t two of me inside (I know it)	그 속에 섞인 난 둘이 아닌 걸 (I know it)
7	There’s no second person	제 2의 누군 존재 하지 않아
10	No comparing	비교는 No
11	I shine just as I am, I’m beautiful enough	있는 그대로 빛나 충분히 아름다워
14	In a stylish and modern picture	스타일리쉬해 모던한 그림 속의
15	I’m enjoying this adventure	탐험을 즐기는 나
16	A true woman	진정한 Woman
17	You want me to be me?	나 다운걸 원해?
18	Then show me yourself	그럼 널 보여줘
19	You have a pearl but you’re looking for a diamond	진주 가지고선 찾아 Diamond
20	You’re getting deceived, you’re being slanderous	속고 속여 또 훼방을 놓아
21	Don’t be deceived by the eyes on you, oh yeah	시선에 속지 마 Oh yeah
22	When they were forcing femininity (girls on top)	여자다운것 강요했던 그때 (Girls on top)
23	When I didn’t even know what it was to be a woman (didn’t know that)	여자다움 몰랐었던 그때 (Did’t know that)
24	Now I know, what I really need (I’ve got it)	이젠 알아 진짜 필요한 그것 (I’ve got it)
25	I have the best inner beauty	내면이 강한 멋진 나인 걸
28	Don’t believe everything you see	보이는게
29	I haven’t shown you everything yet	전부라고 믿지 마 아직 다 안보여 줬어
32	Whatever you say, inside of me	뭐라해도 내 안에 간직해온
33	Under the flashing spotlight	화려한 Spotlight 속의
34	There’s a true woman	진정한 Woman
35	Rising confidence, I’ve got it	높아지는 자존감 I’ve got it
36	Freedom is mine, paycheck	여유는 나만의 것 Paycheck
37	My smile aims for you, heart queen	미소는 널 저격해 Heart Queen
38	Everything’s perfect, all set	완벽하지 모든 게 다 All set
2	Life on the South and North poles	남극과 북극의 life
3	N/S and N/S	극과 극과 극
8	O X O X O That’s all I know	O X O X O 밖에 몰라 ey ey
9	O X O X finally O	O X O X 결국 O ey ey
14	Not this, that, not that, this	이거 아님 저거 저거 아님 이거
15	Take everything ambiguous out	어중간하거나 애매한 건 빼줘
16	Ice or hot, cold bath or warm bath	Ice 아님 hot 냉탕 아님 온탕
17	If there are more than 3 options I never choose the answer	난 보기 3개 이상 있음 답을 절대 안 골라
18	White or black colored chameleon	백 아니면 흑 색이 있는 카멜레온
19	I feel dizzy a little Just pick one	좀 어지러운 듯 하나만 해줘
20	Yes, it goes the same, when I practice	그래 똑같아 연습할 때도
21	I hate something ambiguous the most	어중간한 게 젤 싫어
22	I would rather go to the Playstation room and chill out	그럴 바엔 아예 플스방 가서 머리나 식혀
37	Light is light or black out	조명은 light or black out
38	When I get dressed only white or black	옷 입을 땐 white or black만
39	It definitely makes me look better	확실하게 살아나 때깔
40	If I try a new style I could be the fashion terrorist	괜히 입던 거 안 입다 패션테러 될까
41	I’m not afraid of it	겁나는 건 아냐
42	That’s just my innate preference	그냥 그게 선천적인 내 취향인 거야
43	I just hate anything ambiguous	그냥 난 뭐든지 애매한 게 싫어
44	So I hate the phrase ‘at least go halfway’ the most	그래서 중간만 가란 말이 젤 싫어
45	If I was gonna be mediocre	적당히 할 거면
46	I wouldn’t have started in the first place	시작도 안 했어 ey ey
47	If I was gonna just go halfway	중간만 갈 거면
48	I’m already half done as I began	시작이 반 했어 ey ey
49	If I were moderate I got nothing	적당히 했다면 I got nothing
50	If I had to just go halfway I’m finished	중간만 가라면 난 다 왔지
51	I can’t see the low resolution I can see the high resolution well	저화질 안보이지 고화질 잘 보이지
52	It’s all or nothing Even if it’s nothing, I go	모 아니면 도겠지 도여도 난 go 하지
53	Mom rather than dad Dad rather than mom	아빠보다는 엄마 엄마보다는 아빠
54	I can’t pick one Imma I like both of them	고를 수 없잖아 Imma 둘 다 좋아해요
55	Short T-shirts in winter Electric pads in summer	겨울에 입는 반팔 여름엔 전기장판
56	Should I do that? Give me a break	굳이 꼭 그래야 함 적당히 좀 해요
61	life on the South and North poles	남극과 북극의 life
63	It’s either, go up or down, there’s no in between	It’s either, go up or down 중간은 없어
64	Try try try I don’t want to go down	노력해 노력해 노력해 밑으로 가긴 싫어
66	Jjiggudi Dugada Pop	찌끄디두가다팦
68	Warigari oh my gosh	와리가리 oh my gosh
69	Plus and minus pick one	Plus and minus 골라봐
70	Only if I control my power when I practice	연습하면서 힘 조절을 해야
71	I can find the midpoint	중간 점을 찾겠지
72	Even if I try again and again I can’t do it as I want	해봐도 해봐도 원하는 대로 안돼
73	N/S opposite I can do both	극과 극 반대 둘 다 소화해
74	N/S opposite whatever it is, I overcome	극과 극 반대 뭐든 이겨내
89	It’s not easy	쉽지않네
0	Do you know how I’m looking at you?	너를 바라보고 있는 나의 마음을 아니
1	Do you know how every day, I’m waiting for you?	매일 기다리고 있는 나의 하루를 아니
2	Feels like I’m walking on glass	유리 위를 걷는 것 같아
3	What if we get farther away?	어쩌면 멀어질까 봐
4	Just stay with me	그저 넌 Stay with me
5	Next to me, stay with me	내 곁에 Stay with me
6	You don’t have to love me	나를 사랑하지 않아도 돼
7	I can just be in pain like that day	그날처럼 아파도 돼
10	My days feel like they’ll break down	부서질 것 같은 하루에
11	What if we get farther away?	어쩌면 사라질까 봐
16	Sometimes, I can’t take it and I just fall asleep	가끔은 견디지 못해 잠들어
17	But why do I still see you when I close my eyes?	왜 눈감아도 니가 보일까
0	You filled up my emptiness	내 빈자리를 채워줬던 너
1	Only you could fill it up	그 빈자릴 채울 수 있던 너
2	Just by being by my side	그저 내 곁에 있어 준 것만으로도
3	You gave me strength	내겐 힘이 돼
4	I couldn’t say anything else but thank you	고맙단 말밖에 못 하던
5	But now I’m reaching my hand out to you	내가 널 향해 손을 내민다
6	With you, who has taken my hand	그 손을 잡은 너와 함께
7	I can shout of a bigger dream than before	전보다 더 큰 꿈을 외친다
8	If I can live for you, I can do anything	내가 널 위할 수만 있다면 뭐든 할 수가 있더라고
9	If you can shine brighter, I can be the darkness	네가 더 빛날 수만 있다면 내가 어둠이 되더라도
10	I’ll stay by your side	너의 곁에 내가 있어 줄게
11	Will you stay in the same place as me?	나와 같은 곳에 있어 줄래
12	It’s too cold to be alone outside	창밖은 너무 추워 나 혼자 남아있기엔
13	You’re here, so it’s getting warmer	여긴 네가 있어 따듯해 지나 봐
15	I know when I’m with you	너와 있을 때 난 알 수 있어
16	In the same place, in the same time	같은 공간 속에서, 같은 시간 속에선
17	I can overcome anything	뭐든 이겨 낼 수 있어
19	I can see me in you	그 안에서 나의 모습이 보여
20	In the same place, in the same time	같은 공간 속에서, 같은 시간 속에서
22	You shined on me when I didn’t even know myself	나도 잘 몰랐던 내 자신을 비춰줬어
23	I didn’t know and I was lost	나도 날 몰라서 혼자 헤매었어
24	But from some point, I saw through the window	근데 어느 순간부터 유리창 너머로 보여
25	Because you spent the same time, the same day with me	나와 같은 시간 같은 하루를 보내곤 해서
26	Now my questions and your answers	이제 나의 질문과 너의 대답이
27	Fit together like a puzzle	퍼즐처럼 잘 맞거나
28	My worries and your worries	나의 고민들과 너의 고민들의
29	Intersect	교집합 점을 다 찾아가
30	Our chemistry is like a fantasy, every moment	우린 환상의 케미 every moment
31	Is so perfect when we’re together	모두 완벽해서 그래 함께라면
32	Through you, I see me and through me	너를 통해 나를 보고 너도
33	You see yourself, such a great scene	나를 통해 너를 보는 멋진 장면
46	Yeah stay by my side	Yeah 내 곁에 있어 줘
48	Will you be on my side? Let’s run with our footsteps in sync	내 편이 돼줄래 발맞추면서 달리자고
49	We’re going side by side, I wanna go with you	We’re going side by side 난 너랑 같이
50	Promise me	가고 싶어 약속해줘
53	You and I, you and I, you and I, I’m by your side	You and I, you and I, you and I, 난 너의 곁에
54	Always, going toward the same place as you	Always 너와 같은 곳을 향해가
55	You and me, you and me, you and me	너와 나, 너와 나, 너와 나
56	Can’t compare you with anyone else	그 누구와 너를, 비교할 순 없어
61	No one can replace you	그 누구도 너를 대신할 순 없어
0	How are things at the place I used to live?	나의 살던 곳 거긴 어떤가요
1	I didn’t really know when we were together	함께 일 땐 잘 몰랐었네요
2	When everything left me so quickly	모든 것들이 다 훌쩍 나를 떠날 때
3	Only you stayed the same	당신만은 그대로 있네요
4	The season with colored leaves has returned	낙엽이 물든 계절이 또 찾아온
5	On that hilly road where you can see the ocean	바다가 보이는 그 언덕길
6	Your soft smile as you held my hand and looked at me without a word	내 손을 꼭 잡고 말없이 날 보던
7	It was love	당신의 옅은 미소는 사랑이었네
12	I’m living among so many people	수많은 사람 속에 살고 있는데
13	But why do I feel so empty?	왜 이리 텅 빈 것만 같은 건지
14	I thought I was fine	아무렇지 않다 생각했었는데
15	But I’ve only gotten used to this longing	익숙해진 건 그리움뿐
16	Oh love is blowing over here	오 사랑 불어오네 여기 이곳에
17	Because all my love is you	내 모든 사랑이 그대이기에
22	Days I think of you because I want to lean on you a bit	잠시 기대고 싶어서 생각나는 날
23	Nights I long for you	당신을 그리워하는 밤
24	How is it over there?	거긴 어떤가요
1	The moonlight shines on this momentary dream	달빛이 비춘 이 순간의 꿈
2	You’re walking right next to me	내 곁에서 걷는 너
4	I see from up close but I still can’t believe it	가까이 봐도 믿을 수 없어 Eh
5	It’s a beautiful night	아름다운 밤 Eh
6	I don’t know your heart	니 맘을 몰라
7	Maybe the clouds are covering it	저 구름이 가리나
8	If I keep hesitating, it might rain	망설이다 비올라
9	I think I’ll get drenched	날 흠뻑 적실 것 같아
10	It’s like a drama	한 편의 Drama ay
11	Don’t know how it’ll end	그 결말은 몰라
12	But the moment we met eyes	두 눈이 마주친 순간
13	I couldn’t breathe	숨이 멎을 것 같아
14	It shows faintly on your cheeks	두 볼에 흐릿하게 나타나는 걸
15	The Time has come baby	The time has come baby
16	Pretending to be mean, to be strong, to not care	못된 척 강한 척 눈치 따윈 뭐
17	But right now, we can be rude	지금은 못 돼도 돼
18	(We can be a little rude)	(좀 못 돼도 돼)
19	We’re turning red tonight	붉게 차오른 이 밤 너와 나
20	It’s filling us up	가득 찬 느낌
21	The same good feel	똑같은 Good feel
22	Engraved deeply in time	깊게 새긴 시간 속의 널
23	This timing will protect you	지켜줄 Timing
24	Promise to the end	끝까지 Promise
26	From your lips, check in	입술부터 Check in
28	Without missing a spot, checking	빈틈없이 Checking
29	You’re like a moonlight	넌 내게 Like a moonlight
30	But why don’t you know my heart?	근데 왜 넌 내 맘 몰라
31	Can’t change it with anyone or anything else	어떤 누구와 어떤 것과도 바꿔줄 수가 없어
33	It’s getting more and more dazzling	눈앞이 점점 부셔만 간다 Eh
34	The sky is so blue tonight	하늘이 푸른 밤 Eh
43	Electricity all over my body	온몸에 짜릿하게 퍼져가는 걸
45	Taking a step closer, more and more and more	조금 더 한 발 더 More and more and more
46	You can come closer	더 가까이 와도 돼
54	All the things that were bothering you	Oh 그댈 괴롭혔던 것들
55	I’ll send them far away	멀리 보내버릴게요
56	Just close your eyes	조용히 두 눈을 감고
57	Lean on me and on your lips	내게 기대어 그대 입술에
2	I’m scared, I’m falling	I’m scared I’m falling
24	Don’t what I’m doing	아직 너를
25	Not leaving you yet	못 떠나고 뭘 하고 있는 건지
26	Cuz I know some day	언젠간은 끝날 걸
27	It’ll be over	떠날 걸 아지만
28	Some day, I’ll leave you	고장난 우릴
29	Can’t we fix our brokenness?	다시 고쳐볼 수는 없을 지
30	Don’t say anything	아무런 말도 하지 마
31	There is no end	마지막은 없어
48	Don’t need anything else, just need you	그게 뭐가 되었건 다 필요 없어 너면 됐어
51	Just like that day I met you when I had the butterflies	날 처음 만났던 설레던 순간 그때처럼
0	Was the moonlight	이토록 아름다웠던
1	Always this beautiful?	달빛이었던가
2	When the night grows deep	아득히 깊어진 밤이면
3	The hiding longing lifts its head	숨었던 그리움 고갤 드네
4	Promises that couldn’t be kept	지키지 못한 약속들이
5	Floated up like stars	별들처럼 떠다닌
6	The wind that blows over the long night	긴 밤에 불어온 바람 그대 숨결인
7	Felt like your breath, it tortured me	것만 같아 괴로웠다
8	With the blowing breeze	스쳐가는 바람에 내게 떨어지는
9	The cherry blossoms falling on me resembled you	벚꽃 잎은 그댈 닮아 이리 쓸쓸한가
10	How lonely this feels, it hurt more than a wound from a cut	칼에 벤 상처 보다 더 깊게 아려온
11	When I engraved you in my heart	그댈 새긴 가슴
12	Past the memories of being uncomfortable	모든 게 불편하기만한
13	Memories I want to forget	잊고 싶던 기억들
14	Days we spent together	너머로 참 선명하게 빛이 나던
15	Shine so clearly	너와 함께 보낸 나날들
20	When the moonlight started to fade	아스라이 흐려진 달빛에
21	You were sadly scattering as well	슬피 흩날리던 그대
22	If everything changes and I can see you again	모든 것과 바꿔서 널 다시 만나면
23	I’d hold you and tell you this	품 한가득 널 안으며 이 말 전하리라
24	That the 100 days of this dream	백일간의 그 꿈은 그 어떤 날보다
25	Were more beautiful than any other day	아름다웠다고
26	That I loved you	사랑했었다고
0	What’re you doing right now?	넌 지금 뭐해
1	I can’t sleep	난 잠이 안 와
2	I’m thinking about you and I’m laughing, why?	너를 생각해 자꾸 웃어 왜
3	This isn’t a joke	장난이 아냐
4	Hearing your voice	너의 목소리에
5	Made me even more excited	들뜬 것 같아
6	There’s no reason but I’m giving all these excuses	이윤 없는데 또 늘어놓은 핑계
7	It’s so not me, why why	나답지 않게 왜 왜
8	Without anyone knowing	아무도 모르게
9	I’m drunk with my own thoughts	혼자 상상에 나 취해
10	To the place where you’re hidden deep inside	너의 깊이 깊이 숨겨진 곳에
11	I think I can go in tonight	들어가도 될 것 같은 밤
12	When I see you	너를 보면
13	I keep thinking of questions like a child	자꾸 어린 아이처럼 작은 질문들이 생겨
14	Cause I wanna know you more	조금 더 너를 알고 싶어져
15	When night comes	밤이 오면
16	Every time, like a habit, I imagine things about you	매일 습관처럼 너에 대한 상상을 하고
17	I’m so curious, I can’t fall asleep tonight	궁금해 하다 잠 못 드는 이 밤
18	On your heart, knock on knock on knock on	네 마음에 knock on knock on knock on
19	Drunk with this night, knock on knock on knock on	이 밤에 취해 knock on knock on knock on
20	Like a lullaby	꼭 자장가처럼
21	Your breath is so cozy	포근한 너의 숨결
22	Each word you say is like a perfect lyric	한 마디 마디가 완벽한 가사야
23	I keep wanting to listen more	[윈윈/해찬] 자꾸 듣고 싶어
24	More than anyone else	누구보다도 우린
25	Feels like we’ve gotten	요즘 들어 더 많이
26	So close these days	가까워진 듯해
27	How about you? I like this	그런 넌 어때 난 이게 좋은데
28	After we hang up	전활 끊은 후에 네가 적을 일기 속에
29	I wonder if my name’s written in your diary	나의 이름도 있을지 궁금해
30	I’m curious about your day	네 하루가 다 궁금해
39	Good night tonight as well	잘 자 오늘도
0	As if I put on blush, as if I put on blush	마치 볼터치 터치 볼터치 터치
1	As if	한 것처럼
3	As if there’s	할 것처럼
4	My cheeks get red, my eyes shine	두 볼이 빨개요 두 눈이 빛나요
5	(Oh~ Dreams Come True)	(Oh~ Dreams Come True*)
6	No one knows, it’s just us in this empty park	아무도 모를 걸, 텅 빈 공원에 우리 둘이서
8	Sharing feelings with that tree where I hung my wishes	소원을 걸어둔 저 나무와 난 맘을 나누고
10	What am I good at?	내가 잘 하는 건 뭘까
11	Again today, I’m wondering	오늘도 고민해 고민해 고민해
12	As I look at the rainbow after the rain	비 개인 뒤 나타난 무지개를 보며
13	I’m coloring myself	날 색칠해, 색칠해
14	Like the birds that fly in the sky	저 하늘을 나는 새처럼
15	I’m trusting myself in the blowing wind	부는 바람 속에 날 맡겨
16	A strange thing will happen	이상한 일이 생길 걸
22	(Oh~ Dreams Come True)	(Oh~Dreams Come True*)
23	The sun is getting red	해가 발그레 그레 발그레 그레
24	Like a dream	꿈결처럼
25	So are my eyes	내 눈도 그래 난 그래 그래
26	Like a half-moon	반달처럼
27	In this moment	이 순간 모든 게
28	Everything looks different (It’s so amazing)	다르게 보여요(신기한 일이죠*)
29	Once I start looking at things I like. Suddenly, I become	좋아하는 걸 찾다 보면 어느새 되어 있지
31	I don’t really know my potential	나만 잘 모르지 나만의 가능성
32	But I’m going to spread the scent of my dreams to the whole world	온 세상에 내 꿈의 향을 퍼트릴까 해~
33	Today more than yesterday	어제보다 넌 오늘 더
34	You’re prettier and more dazzling	예쁘고 눈부셔 눈부셔 눈부셔
35	You’re greater than	넌 니가 생각하는 그 모습보다
36	You think you are	더 근사해 근사해
37	Your head says never ever, that you can’t do it	머리는 Never Ever 절대 할 수 없다고
38	But your heart says never better, just as you are	가슴은 Never Better 너다운 모습 그대로도
39	You’re the best	넌 최고
40	I wish you luck, let’s make a promise	행운을 빌어 우리 약속해, 언젠가
41	Some day, we’ll be each other’s dream	서로가 서로의 꿈이 되어주기
42	There’s a gift that I want to receive	받고 싶은 선물이 있어
43	It’s to be hugged with a heart that believes	믿는 그 맘으로 날 안아주면~
44	Like Dream Pop Pop, Dream Pop Pop	마치 Dream Pop Pop, Dream Pop Pop
45	(Just like that)	(그런 것처럼-)
46	Like the stars	별빛처럼
48	Feels like I can touch	닿을 듯해
49	My heart trembles, miracles come true	가슴이 떨려요 기적을 이뤄요
50	(Oh~Dreams Come True)	(Oh~Dreams Come True*)
52	The moon gets red	달이 발그레 그레 발그레 그레
54	Like a present	선물처럼
57	In this moment Everything is perfect	이 순간 모든 게 완벽해졌어요
0	I practiced up until hello	인사까진 연습했는데
1	There was no problem till then	거기까진 문제없었는데
2	But when I stand in front of you, why do I just smile like a fool?	왜 니 앞에 서면 바보처럼 웃게 돼
3	I just need to act like I always do	평소처럼만 하면 돼
4	Like now, so natural	자연스러웠어
5	I pretended to run my fingers through my hair	머리를 넘기는 척했어
6	Because my extended hand felt awkward	펼친 손이 뻘쭘해서
7	My facial acting was Ha Jung Woo level	하정우급 표정 연기
8	Not happy to see you at all	나 너 하나도 안 반가워
9	I pretended we have similar taste	취향이 겹치는 척했어
10	To be honest, I didn’t see that movie	사실 나 그 영화 못 봤어
11	I stood in front of the mirror	거울 앞에 멈춰 서서
12	And said I love you	사랑한다고 얘기했어
18	Hello, hello (hello)	안녕 안녕 (안녕)
19	Hello, hello	안녕 안녕
21	I know how to be cool and say hello	멋지게 인사하는 법은 아는데
22	But when I see you	Woo 너를 보면
24	I already know	난 이미 다 알고 있어
25	It’s written on your face	네니 얼굴에 다 쓰여있
26	You’re awkward but so cute	엉성한데 귀여웠어
27	You didn’t even say the right movie title	그 영화 제목도 틀렸어
28	Actually, I’ve been waiting	사실 난 기다리고 있어
29	Actually, I’ve been waiting for a while	사실 꽤 오래 기다렸어
30	For you to say it first	니가 먼저 말해주길
31	That you like me, or whatever else	좋아한다고 아님 뭐든
34	But when I stand in front of you, why do I just smile like a fool?	니 앞에 서면 바보처럼 웃게 돼
40	Even if you practice, some things don’t work out	연습해도 안 되는 건 안 되는 거란
41	No, I don’t believe that	말 안 믿어
45	But when I see you	Wpp 너를 보면
0	Did you get home ok last night?	어젠 잘 들어갔니
1	You cried so much, I’m worried about you	많이 울던 니가 걱정이 돼
2	What if walking home alone	혼자서 집에 가던 길
3	Felt too strange for you?	너무 낯설게 느껴질까 봐
4	Because of those worries, I stood in place	니 걱정에 제자리에 서서
5	Blankly staring at you, getting farther away	그저 멍하게 멀어지는 너를 봐
6	Like a pathetic fool	속도 없는 한심한 바보처럼
7	Only worrying about you	니 걱정만 하고 있네
8	Even when you said let’s break up	이만 헤어지자는 너의 말조차
9	Even when you said you found another guy	다른 남자가 생겼다는 말조차
10	It felt like everything was my fault	모든 게 내 탓으로 느껴지고
11	I didn’t hate you at all	그런 니 모습 하나 밉지 않고
12	I still have all these feelings	자꾸 미련만 남아
13	I think I’m stupid	나 멍청인가 봐
14	You are still so beautiful but	You are still 아름답지만
15	You’re not the same, I know you’ve changed	You’re not the same 변해버린 걸 알아
16	Just how I liked you so much	난 널, 많이 좋아했던 것처럼
17	Will I be able to hate you a lot too?	많이 미워할 수 있을까
18	I am still not able to hate you	I am still, 너를 미워할 수 없어서
19	I’m still missing you	아직 널 그리워 하잖아
21	You just smiled, I’m worried about you	그저 웃던 니가 걱정이 돼
22	When you were walking home alone	혼자서 집에 가던 길
23	Was I too cruel?	내가 너무 잔인했던 걸까
24	Should I turn around and say a last goodbye?	뒤돌아 마지막 인사를 할까
25	Or should I just leave you to hate me?	아님 날 미워하게 그냥 둘까
26	I hate myself for contemplating	고민을 하는 내 자신이 싫어
27	(You hurt me so much)	(날 너무 아프게 했잖아)
29	You’re not the same, I know you’ve changed	I’m not the same 변해버린 걸 알아
34	Are you happy?	행복하냐고 (Oh)
35	Are you satisfied now?	이젠 만족하냐고 (만족하냐고)
36	I wanted to ask	네게 따져 보고 싶었어
37	I wanted to check	난 확인하고 싶었어
39	You look unhappy like me	너도 나처럼 불행해 보여
41	Is it just me?	단지 기분 탓이기만 할까
43	Or just my foolish imagination?	아님 그저 바보같은 내 상상인 걸까
2	Oh I get dyed with you	Oh 난 물들어 너랑 
3	It might not get erased	지워지지 않을지 몰라
4	Just like how fingernails get dyed with red	빨간 손톱 물들인 것처럼
5	Opening up the white drawing paper	흰 도화지 확 펼쳐서 
6	Shall we draw some stories that we were wanting to tell	간질간질하던 얘길 그려볼까
7	That sweet secret that we have shared with each other	우리가 나눈 그 달콤한 비밀
8	Which color shall I color you with	어떤 색으로 널 칠해볼까
9	Which pen should I use to draw you	어떤 펜으로 널 그려볼까
10	The more I fall into you, the harder it is	너에게로 빠져갈수록 어려운걸
11	I think you’re the one coloring me in first	네가 먼저 내게 색을 칠하나 봐
12	I keep getting dyed with pink	핑크색이 자꾸 스며들어
13	Dyed dyed dyed	물들어 물들어 물들어 
14	You’re in big trouble	너 큰일 났어
17	Oh, do you see my heart	Oh 넌 보이니 내 맘 
18	I’m sitting right next to you	바로 옆에 앉아 있잖아
19	Everyday I fly over	매일 거길 포르르 날아가
20	Should I fill this empty note	빈 노트를 꽉 채워서 
21	And jot down my heart that consists of falling stars	별이 쏟아지는 맘을 적어볼까
22	My own secret that you will open and look at alone	너 혼자 꺼내 볼 나만의 비밀
26	I think you’re the one coloring me in first	네가 먼저 내게 색을 칠하나 봐 
32	Inside my world	내 세상에 사뿐
33	When you lightly walk inside, my heart melts down	네가 걸어올 때면 마음이 녹아내려
34	Like a dream, like a dream, tell it to me everyday, I love you	꿈처럼 꿈처럼 매일 말해줘 널 사랑한다고
35	Which color shall I go closer to you with	어떤 색으로 나 다가갈까
36	Which scent shall I greet you with	어떤 향으로 널 마주할까
37	My head is busy inside everyday with you	머릿속이 온종일 너로 너무 바빠
38	After containing you inside a small camera	작은 사진기에 너를 담아보니
39	You’re standing there looking similar to me	나를 닮은 네가 서 있는걸
41	I’m in big trouble	난 큰일 났어
1	A familiar voice just passed through my ears	방금 귓가를 스친 어딘가 익숙했던 목소리
2	When I close my eyes	두 눈을 감아보면
3	It’s suddenly calling out to me again	어느새 다시 나를 부르고 있어
4	Feels like I can reach you	[정우/마크] 닿을 것 같아
5	In your eyes that looked at me, the Milky Way flowed	[정우/마크] 나를 바라본 너의 눈에선 은하수가 흐르고
6	I was looking inside	[정우/마크] 난 그걸 바라보았어
7	We were following time, walking together	[윈윈/재현] 시간을 따라 둘이 걷다가
8	When our footprints connect to our hands	[윈윈/재현] 새긴 발자국 손 끝으로 이으면
9	We’ll become a constellation	[윈윈/재현] 별자리가 되었어
11	I’m looking for you	난 너를 찾아가
12	I’m getting closer	가까이 다가가
13	Into your heart	너의 마음 속에
14	If I go in deep, if I flow inside deep	깊이 들어가면 깊이 흘러가면
16	Looking at our same dreams	이어지기 시작한
17	That have started to connect	같은 꿈을 마주 봐
18	From now on	우린 이제부터
19	We want to be one, I hope we will be one	하나이길 원해 하나이길 바래
21	Hearts trapped in the same dream, I’m feeling the heartbeat	같은 꿈속에 갇힌 심장 소리를 느끼고 있어
22	I’m sure you have the same feelin	같은 느낌이겠지
23	I’m just imagining	어렴풋이 그렇게 상상만할 뿐
24	Every place you reach me, flowers bloom	네가 내게 와 닿는 곳마다 피어나는 꽃
25	I touch it and I get colored with your scent	그걸 어루만지면 네 향기로 난 물들고
26	Every time you laugh out loud, the stars spill down	네가 소리 내 웃을 때마다 쏟아지는 별
27	When I blankly stare at you, it flows into me	멍하니 널 볼 때면 내게 흘러 들어와
38	Even after I wake up	깨고 나도 여전히
39	I feel your air	네가 느껴지는 공기
40	Your melody lingers in my ears	귀에 맴도는 멜로디
41	I naturally start to hum	자연스레 흥얼거려
42	Just like you did	네가 그랬던 것처럼
43	The moment I close my eyes again	눈을 감는 순간 다시
47	You and I, we overcame everything	너와 나 모든 걸 넘어가
48	And have come together right now	맞닿은 이 순간
49	You’re quietly	너는 고요하게
50	Seeping into me again	다시 스며들어 다시 스며들어
51	Oh my, like a dream, you sweet voice calls out to me	Oh my 꿈결처럼 달콤한 날 부른 목소리가
52	It gets far away again, like a dream, like a dream	다시 아득해져 아직 꿈만 같아 아직 꿈만 같아
0	Sometimes, I was jealous of the person	너를 사랑하지 않는 그 사람이
1	Who doesn’t love you	가끔 부럽기도 했어
2	The only thing I could say today when you were crying	오늘 우는 너의 옆에서 꺼낸 말
3	Was “it’s OK, everything will be OK”	겨우 ‘괜찮아 괜찮아 다’
4	You silently seeped into this season	소리 없이 이 계절 틈 사이 스며든 너
5	Don’t just take a break here	잠깐 쉬어가진 마요
6	Keep staying here	계속 여기에 머물러요
8	The more I want you	널 원할 수록
9	The heavier my reality gets	내 현실은 무거워지고 있어
10	What if my rash confession makes everything harder?	성급한 내 고백에 모든 게 어려워질까 봐
11	But still, I can’t take it anymore	그럼에도 나는 더 참지 못해
12	I want to run to you right now	지금 너에게 달려 가고 싶어
13	Because all of my moments want you	나의 모든 순간이 너를 원하고 있으니
14	If we could take out all the emotions	우리 마음에 있는 모든 감정을
15	In our hearts	꺼내 놓을 수 있다면
16	There would be no fear that wanders	오해와 이해 그 사이를 헤매는
17	Between misunderstanding and understanding	두려움은 없었을 텐데
18	You filled up my day that was scentless	향기 없던 나의 하루를 채워준 너
23	The rougher my reality gets	내 현실은 거칠어지고 있어
28	The world keeps making me take	세상이 너에게서 날
29	One step away from you	자꾸만 한발 짝 뒤로 물러나게 해
30	But why do tears keep coming?	그런데 왜 지금 흐르는 걸까 눈물이
32	I want you more	너를 더 원해
33	Though this reality is heavy and rough	[해찬/태일/도영] 이 현실이 무겁고 거칠어도
34	I love you, I love you, I’ll tell you all of my heart	널 사랑해 사랑해 전할게 내 마음 전부 다
35	Share your scars with me	너의 상처들은 내게 나눠줘
36	I’m running to you right now	지금 너에게 달려 가고 있어 ([도영/해찬] 달려 가고 있어)
38	Believe me	믿어줘 내 모든 순간
