	eng	kor
47	I think there was a day when I say this	어떤 날엔가 내가 그랬던 것 같아
48	As time passes by, in order for the leaf, called you, not to fall	시간이 지나 너란 잎이 떨어지지 않게
49	I endured and endured, and tried to fight through it but it breaks	버티고 버텨 헤쳐나가다가도 깨져 버린
50	Why can’t I feel breathing next to me	왜 느껴지지 않는 건데 내 옆의 숨결이
51	It’s all stopped	다 멎은 건데 이 여린
52	Did you have to turn this sensitive heart	맘을 다 뒤집어
53	Upside down for you to feel comfortable?	놨어야 편했냐
54	Throw it away	갖다 집어치우라 그래
55	There’s no such thing as a beautiful farewell	없어 아름다운 이별 따윈
56	I really hate you, why did you cruelly do this to me	네가 참 싫다 넌 날 왜 이렇게 잔인하게
0	What words can I use to explain this feeling?	어떤 말로 표현해야 이 감정을 알까
1	How can I look at you so you’ll know my heart?	어떻게 널 바라봐야 나의 마음을 알까
2	As I go through the seasons with you, walk with you	너와 같이 계절을 겪고 너와 거리를 걷고
3	And slowly get to know you	아주 천천히 너를 알아가는 이 시간 속에
4	Wherever you are	니가 어디 있다 해도
5	I am loving you	너를 사랑하고 있어
6	I won’t rush you	서두르지 않을게 난
7	I’ll protect you from behind you	니 뒤에 서 너를 지켜 줄게
9	I will go to you	너에게 다가갈게
11	Always, my love for you	난 언제나 My love for you
12	I want to be in the same time as you	너와 같은 시간 속에 머물고 싶은데
13	I want to be in the same place as you	너와 같은 공간 속에 함께 하고 싶은데
14	I’ll slowly walk to where you are	천천히 난 걸어가 볼게 바로 니가 있는 곳
15	Because I believe it’s like practice to go to you	너에게 가는 연습일 거라고 믿고 있으니
25	Will you answer me?	나에게 대답해 줘
27	Promise me	나에게 약속해 줘
28	After a long time has passed	오랜 시간이 언젠가 지나가면
29	I wonder if you’ll know my heart then	나의 마음을 그땐 너도 알게될까
0	I’m doing well	나는 잘 지내
1	I haven’t even skipped meals	끼니도 거르지 않았어
2	It’s just that time has stopped	그저 시간이 멈춰있어
3	So I don’t even try to get over you	굳이 잊으려 하지도 않아 그래
4	You were right, it hurts so bad	니가 맞았어 죽을 것 같이 아팠지만
5	But I’m doing just fine	나름대로 잘 지내게 돼
6	Besides the fact that the loneliness bothers me a little	허전함이 날 조금 괴롭히는 것만 빼면 말야
7	I miss you a lot	참 보고 싶어
8	When I’m walking down the street	길을 걸을 때, 나를 감싸주던
9	I miss your warmth	따스했던 니 맘이 그리워
10	That used to wrap around me	발을 맞추며 설레어하던
11	I miss the love we had	사랑했던 우리가 그리워
12	That gave us butterflies as we walked together	난 Oh 그때가 그리워
13	I miss those times, I miss you a lot	참 보고 싶어
14	Storm clouds come to me, making it dark	먹구름이 날 찾아와 어둡게 하고
15	Making my heart that was alright, not alright	괜찮던 맘을 괜시리 아프게 할 때면
16	Do I have to get over you?	너를 잊어야 할까 Oh
23	I’ll be a withered flower	시들어 버린 꽃
24	My heart will be torn	찢겨져 버린 맘
25	I will break down	부서져 버린 날
26	If you leave	두고 떠나간다면
27	I’m here all alone	홀로 남겨진 나는
28	Acting like I’m fine but crying my eyes out	오늘도 애써 괜찮은 척 펑펑 울어야 해
0	Yeah here we go, yo	Yeah here we go yo
1	Drop in 3, 2, 1	Drop in 3 2 1
3	How should I say this	어떻게 말할까
4	Should I coolly say that I came because I wanted to see you	쿨하게 보고 싶어 왔다고 말할까
5	Or should I say that I was coincidentally passing by	지나가다 우연이라 할까
6	1, 2, 3	1 2 3
7	In the middle of thinking, I’ll say it girl come on	고민 중 말할게 Girl come on
8	How about spending today with me?	오늘 나랑 보내는 건 어때
9	At your charms, Hands up	네 매력에 Hands up
10	Hey, why can’t you be patient?	야 왜 이렇게 참지를 못해
11	Acting like a newborn baby	갓난애 마냥
12	The lifted-up heart that holds you up isn’t a hot-air balloon	널 태운 들뜬 맘은 훨훨 열기구 아니야
13	That thing about a movie that appeared on Talk message preview	네게 온 Talk 미리 보기에 영화
14	What is this, hey, wait wait	뭔데 이거 야 잠깐 진짜
15	Lullu Lalla, already	룰루랄라 벌써
16	My heart is over	심장 Over
17	Quickly, tik tiki tiki tok	빠르게 Tiki Tiki Tiki Tok
19	Already, time over	벌써 Time over
20	Stay still, if it’s the two of us, I like it	멈춰 우리 둘이면 좋아
22	Lullu Lalla	룰루랄라
24	Your smile makes me smile happily	네 미소가 날 웃게 해 행복하게
26	You hecticly shake me around	정신없게 날 흔들어 놔
27	Hecticly shaking me around,	정신없이 흔들어 놔
28	I lose my balance again today	오늘도 난 비틀비틀
29	I can’t breathe, it’s on the line once again because of you Ah yeah	숨이 차 또 간당간당 너 때문에 Ah yeah
30	There’s one thing I cherish	내가 아끼는 게 하나 있어
31	Placing my sincerity, it’s placed within me	진심을 담아 내게 담고 있어
32	All I’m doing is looking	그저 바라보기만 할 뿐이야
33	To describe myself,	나로 말하자면
34	I’m a sweet guy	난 Sweet guy
35	Don’t hesitate like that	그렇게 망설이지 마
36	Like flying in the sky,	하늘을 날으는 기분
37	Start it, the love between you and I	시작해 너와 나 사랑
46	Wherever it is, if it’s you, I like it	어디든 너라면 좋아
47	Whatever we do, if it’s you, I like it	뭘 해도 너라면 좋아
48	Because I think of you from morning to night,	아침부터 저녁까지
49	I even forget to breathe	네 생각 땜에 숨 쉬는 것도 잊어
50	Let’s make today your first day with me	오늘부터 나랑 1일을 해
51	Mon, Tues, Wed, Thurs, Fri, Sat, Sun, I love you	월화수목금토일 사랑해
52	Everyone is jealous	다들 부러워해
53	The story that we create	우리가 만드는 Story
0	Now I’m going to dance with you in a dope way	이젠 Dope 하게 너와 춤을 출 거야
1	Don’t look at me with a sulky look	넌 왜 뚱하게 나를 쳐다보지 마
2	I’m going to dream with you	훅하게 너와 꿈을 꿀 거야
3	I’m going to dance with you	너와 춤을 출 거야
4	Going to dream again	다시 꿈을 꿀 거야
8	In front of my eyes, who are you that you’re so dazzling	눈앞에 넌 뭔데 눈부셔
9	You’re beautiful, I want to have you	아름답다 널 가지고 싶어
10	My fluttering heart	설레는 내 마음
11	I want to tell you, I like you	네게 말하고파 I like you
12	Ya if I wanna take a ay	Ya If I wanna take a ay
13	Forget being bored, ay	지루함은 됐고 Ay
14	Running to the point of being breathless	숨 가삐 달려
15	Like vroom-vroom, shoong, and screech	붕붕 슝 하고 끽하며
16	I stop right in front of you	네 앞에 딱 서
17	With hands behind my back, you give a flick	손을 뒤로 너는 딱밤
18	If we’re going to play for real, look at me closely right now	기왕 놀 거면 지금 나를 잘 봐
19	I’ll probably say it later too, but	뒤에서 또 말하겠지만
20	After hearing this song, let’s dance bam	이 노래 듣고 춤을 Bam
21	You’re a star in the dark skies	너는 저기 까만 하늘의 별
23	I want to protect you, promise you	지켜주고 싶어 Promise you
24	Today was a hard day too, right? Baby	오늘 하루도 힘들었지 Baby
25	You can close your eyes and lay in my embrace	눈을 감고 내게 안겨도 돼
26	Yeah I’m going to	[재윤/찬희] 그래 나는
27	Dance with you in a dope way	[재윤/찬희] Dope 하게 너와 춤을 출 거야
28	Don’t look at me with a sulky look	[재윤/찬희] 넌 왜 뚱하게 나를 쳐다보지 마
29	I’m going to dream with you	[재윤/찬희] 훅하게 너와 꿈을 꿀 거야
30	I’m going to dance with you	[재윤/찬희] 너와 춤을 출 거야
31	Going to dream again	[재윤/찬희] 다시 꿈을 꿀 거야
32	Yeah I’m also going to	그래 나도
33	Dance with you in a dope way	Dope 하게 너와 춤을 출 거야
38	This is a story from a certain day	어떤 날의 이야기야
39	What I’m trying to say right now	지금 전해 주려는 건
40	Is one night’s tale	평소같이 꾸며내지 않은
41	That isn’t made up like usual	한밤의 얘기인걸
42	With your body pulled back, you give a flick	몸을 뒤로 너는 꿀밤
43	If we’re going to just play, look at me closely	그냥 놀 거면 너는 나를 잘 봐
44	Although I said this before,	앞에서도 말했었지만
45	Listen to this song and dance with us	이 노래 듣고 Dance With Us
49	Today was a hard day too, right? Baby	이미 서로에게 느껴지는걸
50	You can close your eyes and lay in my embrace	달빛 아래 너와 나의 Feelin’
63	Why are you wandering	너는 왜 헤매고 있니
64	Why did you lose the way and end up wandering	길을 못 찾고 헤매고 있니
65	I always said this,	항상 말했잖아 너의
67	I’ve told you that, fill me with you forever yeah	네게 말했잖아 평생 너로 채워줘 Yeah
68	Let’s fly up to space	우주 위로 날아가
69	Yeah I’m	그래 너는
70	That’s right, I’m going to	맞아 나는
82	Let’s run together again	다 같이 한 번 더 뛰어
83	Come here, come to me, everyone gather	이리로 내게로 모두 모여
84	Jump up and down and play yo	뛰어노세 Yo
85	Hey you, you too, jump up and down and play yo	저기요 님도요 같이 뛰어노세 Yo
86	Over here, everyone gather, jump up and down and play yo	여기요 모두 모여 뛰어노세 Yo
87	Come here, come to me	이리로 내게로
88	That’s right, I’m	그래 나는
1	I never tried to steal it	훔치려 한 적 없어
2	I just wanted to see what was different	뭐가 다른지 보려 했을 뿐
3	I’m selfish, I just tried to understand it	이기적인 거야 보이는 그대로만
4	As it was seen. I never thought of you once	이해했을 뿐 널 생각한 적 없어
5	Why are you wetting your eyes, it’s making me feel weird	왜 눈가를 적셔 사람 이상해지게
6	No matter who looks at it, I’m the bad guy	누가 봐도 내가 나쁜 놈인데
7	I’m the bad guy, the selfish me	나쁜 놈이지 이기적인 내가
8	Has nothing to give to you	네게 줄 수 있는 게 없네
9	Even after knowing this, you’re still the same	알고도 넌 여전히 그대로네
10	Please don’t leave, I need you right now	떠나지 말아 줘 네가 필요해 난 지금
11	Can you let me stay by your side so that I can rest?	네 곁을 줄래 나 쉴 수 있도록
12	So that I can soothe my tired heart?	지친 마음을 달랠 수 있게
13	On the frozen roads,	얼어붙은 거리에는
14	Only the piercing winds	살을 베는 바람만이
15	Are blowing	휘몰아치네
16	Like the hands held tightly, I love you	널 꽉 잡은 손만큼 사랑해
17	Like my entire body is breaking	내 온몸이 부서지듯
18	Even the ripping pain	찢어지는 고통도
19	I won’t let go of the hand that’s holding onto you	널 잡은 손을 놓지 않아
20	My light of hope is you	내 희망의 빛이 너야
21	The reason why I breathe as well	숨을 쉬는 이유도
22	Let’s not pass by the things the two of us said	지나치지 말자 우리 둘이 했던 말들
23	Hoping that you hold onto my unstable life	위태로운 내 삶을 네가 잡아주길 다른
24	I don’t need anything else, as long as there’s you, I’m OK	그 어떤 것도 필요 없어 너 하나면 난 OK
25	You just have to hold my hand	내 손만 잡아주면 돼
26	In my heart, that’s like a wide field,	저 광야 같은 내 맘엔
27	There’s only empty winds	공허한 바람만
28	No one looks for me	아무도 찾지 않는 나
29	Everyday is different, I wither away	매일이 달라 시들어
30	Day after day, time over	하루하루 Time over
31	Tomorrow, tomorrow time over	내일이 내일이 Time over
32	Reach out your hand,	벼랑 끝에 나를 잡아줄
33	That will grab me from the edge of a cliff	네 손을 내밀어
34	My dropping body temperature,	식어가는 나의 체온
35	Please give me your warmth	너의 온기를 전해줘
43	I was trapped by my own indolence	나로 인한 스스로의 나태함에 잡혀 지냈던
44	And was in pain from an excess of despair and sorrow	내 절망과 설움 그 북받침에 흘린
45	But because there was you to accept it	괴로움마저 담아주고 받아줬던
46	I was able to live with my name	네가 있기에 내 이름을 달고 살 수 있었던
47	Dangerous, for you	Dangerous 너를 위해
48	I can pass anything	다 넘을 수 있어
49	I can endure anything	다 견딜 수 있어
0	One step per hour	한 시간에 한 걸음씩
1	I was walking toward you	널 향해 걷고 있었지
2	On this narrow path	좁은 길을 따라서
3	Looking for your scent	그대 향기 찾아서
4	Only you	널 오직 널
5	After a day passes	하루가 또 지나면
6	The night sky spills out	밤 하늘이 쏟아져요
7	I’m still looking for you, here and there	이리저리 찾아 해메이는 나
9	I’m turning back the clock hands	시계바늘을 돌려
10	Waiting for the day to go back to you	너에게로 가는 날만 기다릴게
11	So I can hold out my hands	손을 뻗어서
12	So my breath can reach yours	숨이 닿아서
13	So I can meet the beautiful you	아름다운 널 만날 수 있게
14	I’m taking twelve steps	열 두 걸음을 걸어
15	On my way to see you	널 향해 가는 길이
16	It’s far and lonely	멀고 또 외로워
17	Good night, good night, let’s meet tomorrow	잘 자 잘 자 내일 꼭 만나
18	Along with this unfamiliar scene	낯선 풍경을 따라서
19	I drew you out	네 모습 그려보았지
20	Even the wind on my cheeks	볼에 닿는 바람도
21	Is warm because it resembles you	너를 닮아 따뜻해 그래
23	Whenever the time changes	시간이 바뀔 때면
24	I always prayed	늘 항상 기도했었네
25	Will you bring me to her?	그대 곁에 날 꼭 데려가줄래
31	I’m still inexperienced and I lack a lot	여전히 서툴고 조금 부족하지만
32	But please remember how I only want you	너만을 원하는 나를 기억해줄래
33	For you, who is asleep	잠에 든 널 위해
34	I’ll sing	노랠 불러줄게
35	So you can see me	그대 꿈 속에서 날
36	In your dreams	날 볼 수 있게
0	Just like seeing the sky	눈을 뜨자 마자
1	As soon as I opened my eyes, I thought of you	하늘처럼 니 생각이 났지
2	Your bright eyes make my heart race all day	너의 환한 눈빛
3	I feel your love	하루 종일 내 심장을 뛰게 하지
5	It’s our dance	I feel your love 둘 만의 춤
6	We dream of each other	우린 서로를 꿈 꾸잖아
7	I’m like a child in front of you	니 앞에선 난 어린아이
8	I’m curious about everything of you	너의 모든 게 궁금해
12	Like the beautiful waves in the water	저 아름다운 물결처럼
13	Never disappear, no way	사라지면 안돼 no way
14	Stay with me forever	곁에 있어줘 영원히
16	When spring comes	봄이 오면
17	See how much I’ve grown	한 뼘이나 자란 나를 봐
18	Don’t hesitate	망설일 순 없지
19	Tell me, you got me	알려줘 you got me uuu
20	When I open my eyes	눈을 뜨면
21	I look at the place where you are	그대 있는 곳을 바라봐
22	Give me that spilling light	쏟아지는 빛을
23	My angel	내게 줘 my angel uuu
24	I still don’t know the answer	아직 난 아직 난
25	To what you say	답을 알 수 없어 그대 하는 말
26	But like an echo, I’m always headed to you	메아리 치듯 널 향해 all of my
27	All of my love love love love love	Love love love love love
28	Your silhouette in my eyes	감은 두 눈에 맺힌 네 실루엣
29	Let me breathe next to you	그대 곁에 나 숨 쉴 수 있게
30	I want my arms to reach	손 위로 닿길 원해
31	So I can be in your arms	그대의 품 안에
32	So you won’t get far away from me	멀어지지 않게 내 곁에
33	I’m like a child in front of you	니 앞에서 난 어린아이
38	I’ll hold you even more passionately	더 뜨겁게 널 품에 안아
39	I’ll throw myself into the sun	태양 속에 나를 던져
50	Your white smile	하얀 너의 미소
51	Wanders through my heart	내 가슴을 헤매
52	Feel my signal	느껴줘 나의 signal
53	If you want	그대가 원한다면
54	I can rise up	내가 타오를게
55	I need you	난 그대가 필요해
56	I’ll extend my hands to you	널 향해 두 손을 뻗을게
57	come close to me baby yeah	Come close to me baby yeah
58	I’ll call you above this warmth	온기 위로 널 부를게
60	You resemble the stars, you shine	별을 닮아 너는 빛이나
62	Always stay with me forever	늘 곁에 있어줘 영원히
64	I’m leaning on the moon to feel you	잠시 달에 기대 널 느껴
65	So my breath can reach you	내 숨이 닿을 수 있게
66	Be by my side forever	내 곁을 지켜줘 영원히
0	Hey	있잖아
1	I’m only showing you	꼭 너에게만 보여줄게
3	What a great	근사한
4	Guy I am	남자인 걸 알게 될걸
6	I’ll tell you now	지금 말해줄게
8	I am a jewel for you	난 너에게 보석 같은 사람
10	You don’t recognize the real thing Yeah	진짜를 몰라봐 Yeah
11	Last chance	마지막 Chance
12	Look carefully	천천히 봐
13	Don’t miss out on me	놓치지 마
14	Cause I’m good good good good	‘Cause I’m good good good good
17	I don’t see me next to you Oh yeah	네 옆에 내가 안 보여 Oh yeah
18	Turn on the light, it’s me	불을 켜고 찾아봐도 나야
19	Search here and there, it’s me	이리저리 헤매봐도 나야
21	You don’t know my secret charms	숨겨진 매력을 몰라
22	Hold me tight before it’s too late Oh yeah	날 꽉 잡아 더 늦기 전에 Oh yeah
23	I’m not expressive but not in front of you	감정 표현 서투른 내가 너에게만 이래
24	Hard to believe but it’s true Feel it	믿기지 않겠지만 다 사실이야 Feel it
25	Each time I see you I turn good	매번 너를 보면 내가 좋은 사람처럼 변해
26	That’s what I like All of you Yeah	That’s what I like 너의 전부를 Yeah
30	I hope that moment	나란 놈을 가득 채워 줄
31	Fills me up	순간이기를 바라
32	Waiting will give me what I want	갖는 기다림의 미학
33	It will be you Pray for you	그게 너이겠지만 Pray for you
34	Can’t you tell Yeah	널 위해 준비된 Yeah
35	That it’s a gift for you	선물인 걸 척 보면 몰라
37	Why can’t you recognize the real thing Yeah	진짜를 몰라봐 Yeah
38	It’s your last chance	마지막 Chance
50	Lousy view on love Is out of the picture	시시한 사랑관 이제 넌 제껴
51	I left you out from daily conversation	보통의 주제에서 네 얘기는 뺐어
52	The weight of my universe plus you	나의 우주에 너를 더한 무게는
53	Leans toward your life	기울이게 돼 너의 삶 옆에
54	Trust me You’ll never regret	나를 믿어보면 절대 후회는 No
0	Let’s cheers, like a thunder	건배하자 like a thunder
1	I’ll fill you up	네 모든 걸 채워
2	Till you overflow	넘쳐흐를 듯이
3	Everyone raise your glasses	모두 잔을 머리 위로
4	So they can see from anywhere in the world	세상 어디에서든 보일 수 있게
6	Hands out, eyes up, say oh	손을 펴 시선은 위로 say oh
7	Lift your glasses and look at each other, say oh	잔을 들어 마주 보며 say oh
8	We say the end is just a faraway beginning	끝은 먼 시작임을 우린 뱉어내
9	Remember, from your head to your toes, together, say my name	기억해 발끝부터 함께 say my name
11	Burn it up even more	타올라야지 더
12	Keep lighting the fire	계속해 불을 지펴
13	Every day is a finale show	매일이 finale show
14	As if tomorrow is the end of the world	내일이 마치 end of the world
15	Don’t let the heat die down	열기를 죽이지 마
16	Oxygen, fire, you and I will make a blue light	Oxygen, Fire, 너와 나면 푸른빛 띠우니깐
17	The burning sun	불타는 태양과
18	And the crashing waves	덮치던 파도는
19	It’s no big deal for us	우리에겐 별게 아닌걸
20	Come in closer, we don’t care	더 들어와 봐 we don’t care
21	No more fear anymore	두려운 것도 anymore
22	No one can touch us	누구도 손댈 수 없어
23	Like exploding fireworks	타는 불꽃처럼
25	I’ll fill you up	[성화/종호] 네 모든 걸 채워
26	Till you overflow	[성화/종호] 넘쳐흐를 듯이
31	Call, call, call us right now	불러 불러 우릴 지금 불러
32	We’re burning like the fireworks	타올라 불꽃처럼
37	From an empty desert	아무것도 없는 사막
38	We have started our journey	그곳에서 출발한 우리 시작
39	Hot, hot	뜨겁게 뜨겁게
40	I remember those times	그땔 기억해
41	Round, round	둥글게 둥글게
42	Gather round to face what’s next	모여 다음 앞에서
43	Young and free, we’re jeering at the world	Young and free 우린 세상에 다 야유해
44	We’ll reveal our existence from the darkness	답이 없는 어둠 속
45	Where there is no answer	우리의 존재를 밝혀내
59	Everyone gather here	여기 모두 모여라
60	If it’s hot, join us	뜨겁다면 Join us
61	If you want everything in this world	세상 모든 걸 원한다면
62	Throw away your past	외로워 괴로워
63	When you were lonely, miserable	무서워 두려워
64	Scared and afraid	[홍중/민기] 했던 지난날은 됐어
65	Raise the flag, hands up	[홍중/민기] 깃발 들고 우린 hands up
66	Are you all ready?	모두 준비되었는가
68	Can you see us?	우리가 보이는가
69	The burning eyes	타오르는 눈빛과
70	The swallowing shouts	삼킬 듯한 함성이
71	Rings throughout the world	온 세상을 울리는 걸
72	If you’re listening	듣고 있다면
73	Come to me right now	지금 내 곁으로 와줘
74	So we can be together	함께 할 수 있게
0	If it’s ok with you, it’s ok with me	너만 괜찮다면 나는 괜찮아
1	It won’t be easy but if I’m with you	쉽진 않겠지만 너와 함께면
2	Because I love you more than I love myself	나보다 너를 너무 사랑하니까
3	Let’s be together forever	영원히 함께해
4	Love, happiness, gratitude, pain, longing, tears	사랑 행복 고마움 아픔 그리움 눈물
5	It’s all you	모든 게 다 너인데
6	Your warm voice told me not to worry	걱정 말라던 너의 따뜻한 목소리
7	Again today, I’m walking to you like this	오늘도 난 이렇게 너에게 걸어가네
8	I’ll be your hands	손이 되어 줄게
9	I’ll be your strength	너의 힘이 되어 줄게
10	When you get tired, I’ll be your pillow	지칠 때 기댈 수 있는 베개가 되어 줄게
11	I’ll gather up all the warm moments	따뜻했었던 순간순간들을 모아서
12	And I’ll love you more	내가 더 사랑할게
13	Even if the world we each saw today was different	오늘 하루 각자 봐왔던 세상은 다를지라도
14	The end of our days are always spent together	우리 하루 끝은 언제나 항상 함께라는 거
15	I want to say it’s a relief	다행이라고 말하고 싶었어
16	I’ll always remember the warmth of our held hands	지금 잡은 손의 온기를 항상 기억할게
17	White snow is falling but it’s not cold, it’s warm	흰 눈이 내리는데 춥지 않고 따뜻해
18	It’s like white cotton candy	하얀 솜사탕 같애
19	Like you	그건 마치 너처럼
20	The air from our mouths is warm	입김은 따뜻하게
21	Heating us up	우리를 데워 주네
22	Giving us comfort for our precious memories	소중한 추억들을 위해 토닥여 줘
0	Do you know	니가 내 모든 걸
1	How you messed me up completely?	엉망으로 만들고 있다는 걸 아니
2	I can’t do anything	너 땜에 아무것도
3	Because of you, what do I do?	손에 잡히지를 않는데 어쩌니
4	It’s only been a few minutes since I left	집 밖을 나온 지가 언젠데
5	But why do I keep thinking about going back home?	왜 자꾸 집에 갈 생각만 하는데
6	Oh where did you come from?	Oh 넌 도대체 어디서 나타난 거니
8	You’re an athlete of a love, you too good	Love scene의 Athlete 넌 너무 선수
9	You’re more difficult to beat than King Koopa, I need a tactic	쿠파왕보다 깨기 어려워 필요해 전술
10	Your temptation is too much, I’m drunk off you	유혹이 심해, 너한테 취해
12	Like this song’s hook	이 곡 Hook 노랫말처럼
13	Where did you come from huh?	어디서 나타난 거니 Huh?
14	You’re like strong liquor (you’re poison, what?)	너는 독주 (너는 독, What?)
15	But a liquor I can’t quit	근데 끊지는 못하는 술
16	I’m completely addicted	완전히 중독이 됐잖아
17	Nothing can beat you, no matter what poison it is	못 이겨 그 어떤 Poison두
18	As if my entire house is covered with honey	온 집에 꿀을 발라놓은 것처럼
19	I can’t go outside, I’m sticking close to you, fever	밖을 못 나가 니 품에 꼭 붙어버려 Fever
20	When you look at me, fever	니가 날 바라볼 때 FEVER
21	When our eyes meet, fever	눈과 눈이 맞을 때 FEVER
22	It gets hot, gets hot, gets hot, gets hot	달아올라 달아올라 달아올라 달아올라
23	Even the next door lady knows, fever	옆집 아줌마가 다 알아 FEVER
24	When your lips touch, fever	니 입술이 닿을 때 FEVER
25	When our bodies touch, fever	몸과 몸이 닿을 때 FEVER
27	Even the next door man knows, fever	윗집 아저씨가 다 알아 FEVER
28	As soon as I go home, why does my body stick to yours?	집에 가자마자 왜 내 몸이 니 몸에 붙는 거니
29	Like the N and S poles of a magnet, why do you pull me in?	N극과 S극처럼 잡아당기는 건 왜니
30	I haven’t worked out in a while	운동을 한 지가 벌써 언젠데
31	But why do I keep losing weight?	왜 계속 살이 쭉쭉 빠지는데
32	Are you doing this knowingly or not?	너는 알고 이러니 모르고 이러는 거니
37	Above my smeared lipstick	번져버린 립스틱 위에 더 더
38	Leave me more of those hot marks with your mouth	뜨거운 그 입으로 남겨줘요
41	I’m hot, I’m hot	더워 더워
43	It’s hot, it’s hot	뜨거 뜨거
46	Burn me up with that hot fire	뜨거운 불길로 다 태워줘
58	I try to get up but I’m laying down again	일어나려고 했다가 바로 다시 누워
59	Oh fever, it’s like this every day	Oh fever 매일 밤 이래
0	People say they know	세상 무서운걸
1	No fear in this world at all	아무것도 모른다고 말하겠죠
2	They do not want to feel sad at all	즐거움만 찾는다고
3	Imagination is trapped	가상 현실 속에 의미없는
4	In the meaningless box of reality	상자 속에 갇혀서
5	Don’t settle for that life	살아가지 말라
6	Rain always falls down	흘러내린 물은 절대
7	It never rains up from the sea	다시 올라 갈 수 없는 것
8	You will never understand me	나를 이해 할 수 없겠죠
9	I have my own world	난 내 세상 있죠
11	I already know, we’re different but there’s no place we can’t go	우린 달라요 갈 수 없는 세계는 없죠
12	The world all in one place	하나로 담긴 세상
14	Chuka chuka chu, nothing can stop me, no it can’t	추카추카추 이젠 멈출 수가 없어요
15	It’s okay to say	보여지는 것이
16	“what you see is all there is to me”	나의 전부라고 말도 하시겠죠
17	Even though that’s not everything	그게 다가 아닌데도
18	The world filled with our languages	우리만의 언어
19	And our expressions	우리만의 표현들로 가득찬
20	A world with one nation	우리만의 세상
21	In there is a friend	그 속에는 나와 같은
22	With dreams like me	꿈을 꾸는 친구가 있죠
23	We will fulfil them just wait and see	평화로운 세계 속에서
24	I have my own world	난 내 세상있죠
28	Connecting in my Neverland	Connecting in my neverland
30	Even tough we’re different, there’s nothing to worry about	서로 많이 다른것도 이상할게 없죠
31	Don’t have any doubts, what is so wrong about	세대차이 뿐인걸 그게 뭐가 어떤가요
32	That problem, you know we’re one	예전부터 우린 모두 하나인 걸
33	You should just trust me, you know?	나를 믿어 보세요
35	with dreams like me	꿈을 꾸는 친구가 있죠
48	Chuka Chuka Chu! Nothing can stop me, no it can’t	추카추카추 이젠 멈출 수가 없어요
0	Just another insignificant day	다를 거 없이 하찮은 하루
1	It’s like I was avoiding good things	유독 좋은 일만 피해 갔구나
2	Like the pictures I drew as a kid, I’ve become a grownup	어릴 적 그림 속 어른이 된 난
3	But I had a happy face in those drawings	분명 기쁜 표정이었는데
4	If today’s the last day of my life	한 평생이 오늘까지면
5	Is there a place I can go?	발길을 돌릴 곳이 있나요
6	I pushed back saying I love you cuz it felt awkward	멋쩍다는 이유로 미루었던 사랑해란 말을
7	But right now I’m telling you	너에게 건네줘 right now
8	These days, I keep putting my head down	고개를 자꾸 떨구게 돼 요즘엔
9	When’s the last time I saw the sky?	마지막으로 하늘을 본 게 언젠지
10	The faded world is filled with dust	흐릿해진 세상은 먼지투성이네
11	Cuz people like me were struggling, yeah	나 같은 사람들이 발버둥 쳤기 때문에 yeah
12	We always say later, later	We always say 나중에 그 나중에를 위해
13	Skipping birthdays for that later, I should still be in my teens	건너뛴 생일을 빼면 여태 난 십 대
14	The more I mature, the more I’m scared of my imagination	철들수록 부쩍 상상이 두려워
15	Slides in the park looking more like uphill roads	미끄럼틀도 서서히 비탈길로 보여
16	Now I start to doubt when I see unfamiliar kindness	낯선 친절은 의심 가
17	Typical comfort makes me lose strength even more	뻔한 위로가 더 기운 빠져
18	In our lively texts	화기애애한 대화창 속 넌
19	Are you really laughing?	정말 웃고 있을까?
20	There are too many things I need to avoid here	거리낌 없이 아무 데나 걷기엔
21	For me to just walk around without a care	피해야 될 것이 너무 많은 곳에서
22	Right when we’re born and when we get old	태어날 때나 늙어갈 때
23	We scrunch up like a ball	움츠린 채 사는 우리
30	I pushed back saying I love you cuz it felt awkward	멋쩍단 이유로 미루었던 사랑해란 말을
32	Be careful, time will scarily speed up	조심해 시간은 무섭게 속력을 낼 거야
33	We must be each other’s grip so we don’t fall	넘어지지 않게 서로 손잡이가 되어줘
34	The only thing we can do as individuals is disappointment	개인이 할 수 있는 일은 실망밖에 없어
35	I’m loosening my bag of stories that’s about to explode	터질 듯 쌓여버린 이야기보따리를 풀어
36	Life never stops playing these skillful games	삶은 교묘한 장난을 안 멈춰 uh
37	Ever since you gained life for free	네가 공짜로 생명을 얻은 날부터 uh
38	Happiness always gets buried by something that takes priority over it	우선시되는 무언가에 늘 묻혀있지 행복은
39	Like trying to find a four-leaf clover in a field of flowers	화려한 꽃밭 틈에서 찾는 네 잎 클로버
40	In case our bad intentions get revealed	나쁜 마음씨를 들킬까
41	You and I, we’re all so cautious	너 나 할 것 없이 눈치 봐
42	Don’t worry, even if you feel like you’re not good enough	걱정 마 좀 부족해도 누군가는
43	Some view that as being human	인간다움을 느껴
44	Before you become a good person in someone else’s eyes	남의 눈에 좋은 사람이기 전에
45	You need to reconcile with yourself first	나 자신한테 먼저 화해를 청해
46	Everyone knows it’s hard	어렵다는 거 모두가 알아
47	But this is everyone’s first time at life	이번이 처음 살아 보는 거잖아
0	Thank you for remaining as a memory in my head	Thank you 머릿속에 추억으로 남아줘서
1	For letting me remember right before I go to sleep	잠들기 전 떠올릴 수 있게 해줘서
